"","SP500","Nasdaq","Comcast","Charter","ATT","Verizon","Century","Google","Microsoft","Apple","Facebook","AOL","Yahoo"
"2012-05-18",1295.219971,1311.219971,14.14,61.68,33.66,41.529999,38.59,300.500488,29.27,75.76857,38.23,26.01,15.42
"2012-05-21",1315.98999,1343.869995,14.355,63.630001,33.630001,41.34,38.709999,307.362366,29.75,80.182854,34.029999,26.98,15.58
"2012-05-22",1316.630005,1337.569946,14.47,64.650002,33.540001,41.389999,38.52,300.700714,29.76,79.567146,31,27.2,15.29
"2012-05-23",1318.859985,1339.969971,14.395,64.610001,33.360001,41.279999,38.779999,305.035034,29.110001,81.508568,32,27.7,15.38
"2012-05-24",1320.680054,1317.589966,14.465,64.209999,33.639999,41.389999,38.700001,302.132141,29.07,80.760002,33.029999,27.61,15.35
"2012-05-25",1317.819946,1324.310059,14.425,64.269997,33.689999,41.450001,38.939999,296.061066,29.059999,80.327141,31.91,27.48,15.36
"2012-05-29",1332.420044,1342.47998,14.61,64.629997,33.939999,41.75,39.34,297.467468,29.559999,81.752853,28.84,27.45,15.47
"2012-05-30",1313.319946,1317.829956,14.475,63.189999,33.84,41.419998,39.25,294.409424,29.34,82.738571,28.190001,27.18,15.25
"2012-05-31",1310.329956,1306.369995,14.455,62.700001,34.169998,41.639999,39.220001,290.720734,29.190001,82.53286,29.6,27.43,15.24
"2012-06-01",1278.040039,1267.920044,14.315,61.310001,33.900002,41.029999,37.049999,285.775787,28.450001,80.141426,27.719999,27.11,14.92
"2012-06-04",1278.180054,1272.140015,14.475,61.279999,34.150002,41.34,37.419998,289.584595,28.549999,80.612854,26.9,27.39,15.01
"2012-06-05",1285.5,1292.209961,14.515,63.509998,34.060001,41.200001,37.580002,285.490479,28.51,80.404289,25.870001,27.19,15.1
"2012-06-06",1315.130005,1331.369995,14.88,63.75,34.560001,41.77,37.330002,290.575562,29.35,81.637146,26.809999,27.4,15.36
"2012-06-07",1314.98999,1319.410034,15.005,63.810001,34.16,41.639999,37.130001,289.404419,29.23,81.674286,26.309999,27.47,15.36
"2012-06-08",1325.660034,1332.420044,15.135,64.120003,34.549999,42.439999,37.43,290.515503,29.65,82.902855,27.1,27.48,15.65
"2012-06-11",1308.930054,1306.219971,14.97,63.389999,34.59,42.560001,37.580002,284.534546,28.9,81.595711,27.01,26.81,15.3
"2012-06-12",1324.180054,1328.780029,15.225,64.730003,34.98,42.939999,37.380001,282.832825,29.290001,82.308571,27.4,27.21,15.47
"2012-06-13",1314.880005,1319.890015,14.99,64.93,34.98,42.990002,37.32,280.825836,29.129999,81.737144,27.27,27.1,15.49
"2012-06-14",1329.099976,1318.869995,15.355,65.889999,35.689999,43.75,37.709999,279.80481,29.34,81.647141,28.290001,25.57,15.36
"2012-06-15",1342.839966,1341.23999,15.545,66.889999,35.709999,43.549999,38.380001,282.537537,30.02,82.01857,30.01,25.99,15.98
"2012-06-18",1344.780029,1350.599976,15.58,67.629997,35.630001,43.82,38.66,285.710724,29.84,83.682854,31.41,26.96,15.85
"2012-06-19",1357.97998,1363.880005,15.655,68.980003,35.470001,43.73,39.049999,291.056061,30.700001,83.915718,31.91,26.72,15.78
"2012-06-20",1355.689941,1365.810059,15.595,69.400002,35.41,43.299999,38.860001,289.044037,30.93,83.677139,31.6,26.51,15.75
"2012-06-21",1325.51001,1318.97998,15.34,67.440002,35.029999,43.330002,38.490002,282.887878,30.139999,82.524284,31.84,26.43,15.82
"2012-06-22",1335.02002,1335.380005,15.415,67.910004,35.169998,43.950001,38.639999,286.026031,30.700001,83.157143,33.049999,27.16,15.8
"2012-06-25",1313.719971,1301.430054,15.165,66.610001,34.950001,43.650002,38.150002,280.630646,29.870001,81.538574,32.060001,27.15,15.69
"2012-06-26",1319.98999,1306.869995,15.29,67.699997,34.98,43.84,38.299999,282.62262,30.02,81.718575,33.099998,27.25,15.74
"2012-06-27",1331.849976,1322.079956,15.52,69.650002,35.189999,43.779999,38.59,284.934937,30.17,82.071426,32.23,27.31,15.64
"2012-06-28",1329.040039,1305.27002,15.52,70,35.389999,43.970001,38.799999,282.437439,29.91,81.292854,31.360001,27.5,15.6
"2012-06-29",1362.160034,1356.48999,15.985,70.870003,35.66,44.439999,39.490002,290.325317,30.59,83.428574,31.1,28.08,15.7
"2012-07-02",1365.51001,1349.75,16.129999,72.050003,36.200001,44.93,39.66,290.525513,30.559999,84.645714,30.77,28.41,15.72
"2012-07-03",1374.02002,1366.359985,16.014999,72.209999,36,44.950001,39.689999,294.209198,30.76,85.629997,31.200001,28.71,15.91
"2012-07-05",1367.579956,1361.969971,15.725,72.239998,35.77,44.889999,39.380001,298.25827,30.700001,87.134285,31.469999,28.66,15.76
"2012-07-06",1354.680054,1326.01001,15.68,72.080002,35.439999,44.419998,39.360001,293.283295,30.190001,86.554283,31.73,28.4,15.43
"2012-07-09",1352.459961,1310.579956,15.635,72.019997,35.540001,44.740002,39.52,293.298309,30,87.69857,32.169998,28.21,15.5
"2012-07-10",1341.469971,1293.170044,15.675,72.099998,35.439999,44.700001,39.369999,291.141144,29.74,86.887146,31.469999,27.87,15.8
"2012-07-11",1341.449951,1285.550049,15.865,71.589996,35.259998,44.900002,39.919998,285.88089,29.299999,86.347145,30.969999,27.91,16.11
"2012-07-12",1334.76001,1268.949951,15.55,72.779999,34.869999,44.669998,40.09,285.525513,28.629999,85.557144,30.809999,27.53,15.98
"2012-07-13",1356.780029,1285.780029,15.935,72.870003,35.349998,45.209999,40.73,288.548553,29.389999,86.424286,30.719999,27.52,15.84
"2012-07-16",1353.640015,1275.839966,15.915,72.529999,35.419998,45.27,41.049999,287.747742,29.440001,86.701431,28.25,27.85,15.99
"2012-07-17",1363.670044,1277.810059,16.165001,73.07,35.82,45.66,41.779999,288.653656,29.66,86.705711,28.09,27.93,15.74
"2012-07-18",1372.780029,1312.079956,16.195,72.949997,36.189999,45.889999,40.77,290.670685,30.450001,86.608574,29.110001,27.67,15.97
"2012-07-19",1376.51001,1328.939941,16.190001,74.809998,35.48,44.540001,41.59,296.826813,30.67,87.760002,29,27.94,16.04
"2012-07-20",1362.660034,1310.52002,16.09,74.370003,35.290001,44.490002,41.48,305.715729,30.120001,86.328575,28.76,27.81,16.22
"2012-07-23",1350.52002,1290.680054,15.685,73.519997,35.380001,44.349998,41.02,308.063049,29.280001,86.261429,28.75,27.57,16.17
"2012-07-24",1338.310059,1280.73999,15.7,72.919998,34.630001,43.77,40.619999,304.089081,29.15,85.845711,28.450001,27.49,16.01
"2012-07-25",1337.890015,1295.560059,15.68,74.199997,35.330002,43.720001,40.34,304.299286,28.83,82.138573,29.34,29.48,15.15
"2012-07-26",1360.02002,1330.800049,15.805,75.800003,36.299999,44.459999,40.849998,306.987,29.16,82.125717,26.85,31.04,15.02
"2012-07-27",1385.969971,1360.76001,16.145,76.349998,37.139999,44.900002,41.330002,317.797791,29.76,83.594284,23.709999,31.52,14.73
"2012-07-30",1385.300049,1346.780029,16.105,77.459999,37.43,44.950001,41.369999,316.466461,29.639999,85.004288,23.15,31.43,14.76
"2012-07-31",1379.319946,1346,16.275,76.919998,37.919998,45.139999,41.540001,316.801788,29.469999,87.251427,21.709999,31.86,14.99
"2012-08-01",1375.319946,1345.439941,16.775,78.339996,37.639999,45.209999,42.119999,316.656647,29.41,86.687141,20.879999,31.8,15.03
"2012-08-02",1365,1337.900024,17.059999,78.300003,37.540001,44.619999,41.669998,314.689697,29.190001,86.827141,20.040001,31.5,14.96
"2012-08-03",1390.98999,1368.51001,17.305,79.93,37.580002,44.459999,41.740002,320.985992,29.75,87.957146,21.09,32.63,14.97
"2012-08-06",1394.22998,1382.22998,17.469999,77.589996,37.610001,44.689999,41.759998,321.73172,29.950001,88.935715,21.92,33.83,14.92
"2012-08-07",1401.349976,1404.709961,17.275,76.68,37.439999,44.470001,41.849998,320.590576,30.26,88.701431,20.719999,33.65,14.87
"2012-08-08",1402.219971,1408.829956,17.254999,76.010002,37.43,44.18,42.02,321.436432,30.33,88.55143,20.719999,34.15,14.92
"2012-08-09",1402.800049,1413.48999,17.275,75.510002,37.23,44.34,42.540001,321.49649,30.5,88.675713,21.01,34.3,14.85
"2012-08-10",1405.869995,1419.569946,17.365,77.93,37.490002,44.599998,42.779999,321.32132,30.42,88.814285,21.809999,33.76,14.84
"2012-08-13",1404.109985,1411.5,17.275,78.910004,37.389999,44.27,42.849998,330.335327,30.389999,90,21.6,33.32,14.67
