Date,AOL
6/27/13,36.64
6/26/13,35.76
6/25/13,35.11
6/24/13,34.5
6/21/13,34.82
6/20/13,35.5
6/19/13,36.51
6/18/13,36.76
6/17/13,36.66
6/14/13,36.04
6/13/13,35.74
6/12/13,35.22
6/11/13,35.16
6/10/13,35.61
6/7/13,35.58
6/6/13,35.13
6/5/13,34.09
6/4/13,34.63
6/3/13,34.87
5/31/13,34.66
5/30/13,33.93
5/29/13,34.15
5/28/13,35.23
5/24/13,36.17
5/23/13,36.54
5/22/13,36.23
5/21/13,37.27
5/20/13,37.55
5/17/13,37.16
5/16/13,37.35
5/15/13,37.6
5/14/13,37.65
5/13/13,38.21
5/10/13,39.06
5/9/13,39.04
5/8/13,37.74
5/7/13,41.42
5/6/13,40.99
5/3/13,40.34
5/2/13,40.6
5/1/13,38.62
4/30/13,38.64
4/29/13,39.05
4/26/13,39.04
4/25/13,39.38
4/24/13,38.65
4/23/13,38.26
4/22/13,37.63
4/19/13,37.72
4/18/13,37.94
4/17/13,38.19
4/16/13,38.87
4/15/13,38.5
4/12/13,39.19
4/11/13,38.81
4/10/13,39.34
4/9/13,39.28
4/8/13,39.14
4/5/13,38.62
4/4/13,38.3
4/3/13,38.29
4/2/13,38.09
4/1/13,38.37
3/28/13,38.49
3/27/13,39.2
3/26/13,36.17
3/25/13,35.87
3/22/13,36.37
3/21/13,35.58
3/20/13,34.5
3/19/13,34.34
3/18/13,34.06
3/15/13,34.6
3/14/13,36.58
3/13/13,36.9
3/12/13,36.85
3/11/13,36.84
3/8/13,37.48
3/7/13,37.15
3/6/13,37.3
3/5/13,37.85
3/4/13,37.33
3/1/13,36.65
2/28/13,36.9
2/27/13,38.02
2/26/13,37.5
2/25/13,36.94
2/22/13,37.79
2/21/13,37.59
2/20/13,37.76
2/19/13,39.23
2/15/13,39.52
2/14/13,39.33
2/13/13,37.01
2/12/13,37.85
2/11/13,36.23
2/8/13,33.72
2/7/13,31.41
2/6/13,30.8
2/5/13,30.5
2/4/13,30.42
2/1/13,30.76
1/31/13,30.65
1/30/13,30.28
1/29/13,30.67
1/28/13,31.47
1/25/13,31.26
1/24/13,30.8
1/23/13,30.21
1/22/13,29.93
1/18/13,29.75
1/17/13,30.33
1/16/13,29.98
1/15/13,29.74
1/14/13,29.67
1/11/13,29.82
1/10/13,29.76
1/9/13,29.66
1/8/13,29.7
1/7/13,30.16
1/4/13,30.38
1/3/13,30.15
1/2/13,30.29
12/31/12,29.61
12/28/12,29.43
12/27/12,29.8
12/26/12,29.96
12/24/12,30.17
12/21/12,30.45
12/20/12,30.7
12/19/12,30.74
12/18/12,30.87
12/17/12,30.94
12/14/12,30.47
12/13/12,30.33
12/12/12,30.91
12/11/12,31.2
12/10/12,31.59
12/7/12,31.63
12/6/12,31.37
12/5/12,31.73
12/4/12,31.24
12/3/12,31.9
11/30/12,37.52
11/29/12,37.66
11/28/12,36.96
11/27/12,36.58
11/26/12,36.85
11/23/12,36.45
11/21/12,35.6
11/20/12,35.44
11/19/12,35.47
11/16/12,35.11
11/15/12,35.07
11/14/12,36.36
11/13/12,38.25
11/12/12,38.13
11/9/12,39.54
11/8/12,39.04
11/7/12,40.07
11/6/12,43.7
11/5/12,35.81
11/2/12,35.43
11/1/12,35.63
10/31/12,34.34
10/26/12,34.48
10/25/12,35.5
10/24/12,35.85
10/23/12,35.5
10/22/12,35.78
10/19/12,36.27
10/18/12,36.36
10/17/12,37.07
10/16/12,37.31
10/15/12,37.22
10/12/12,36.77
10/11/12,35.71
10/10/12,35.49
10/9/12,36.59
10/8/12,36.73
10/5/12,36.75
10/4/12,36.79
10/3/12,36.17
10/2/12,36
10/1/12,35.38
9/28/12,35.23
9/27/12,34.61
9/26/12,33.62
9/25/12,33.66
9/24/12,33.76
9/21/12,33.79
9/20/12,34.48
9/19/12,34.6
9/18/12,33.76
9/17/12,33.66
9/14/12,33.91
9/13/12,33.82
9/12/12,34.14
9/11/12,33.09
9/10/12,32.73
9/7/12,33.38
9/6/12,33.77
9/5/12,33.75
9/4/12,33.48
8/31/12,33.67
8/30/12,33.71
8/29/12,33.74
8/28/12,33.63
8/27/12,33.86
8/24/12,32.92
8/23/12,32.79
8/22/12,32.38
8/21/12,32.46
8/20/12,32.81
8/17/12,33.47
8/16/12,33.4
8/15/12,32.98
8/14/12,33.22
8/13/12,33.32
8/10/12,33.76
8/9/12,34.3
8/8/12,34.15
8/7/12,33.65
8/6/12,33.83
8/3/12,32.63
8/2/12,31.5
8/1/12,31.8
7/31/12,31.86
7/30/12,31.43
7/27/12,31.52
7/26/12,31.04
7/25/12,29.48
7/24/12,27.49
7/23/12,27.57
7/20/12,27.81
7/19/12,27.94
7/18/12,27.67
7/17/12,27.93
7/16/12,27.85
7/13/12,27.52
7/12/12,27.53
7/11/12,27.91
7/10/12,27.87
7/9/12,28.21
7/6/12,28.4
7/5/12,28.66
7/3/12,28.71
7/2/12,28.41
6/29/12,28.08
6/28/12,27.5
6/27/12,27.31
6/26/12,27.25
6/25/12,27.15
6/22/12,27.16
6/21/12,26.43
6/20/12,26.51
6/19/12,26.72
6/18/12,26.96
6/15/12,25.99
6/14/12,25.57
6/13/12,27.1
6/12/12,27.21
6/11/12,26.81
6/8/12,27.48
6/7/12,27.47
6/6/12,27.4
6/5/12,27.19
6/4/12,27.39
6/1/12,27.11
5/31/12,27.43
5/30/12,27.18
5/29/12,27.45
5/25/12,27.48
5/24/12,27.61
5/23/12,27.7
5/22/12,27.2
5/21/12,26.98
5/18/12,26.01
