Symbol,Date,Yahoo
YHOO,6/27/13,25.44
YHOO,6/26/13,25.29
YHOO,6/25/13,24.96
YHOO,6/24/13,24.07
YHOO,6/21/13,25.19
YHOO,6/20/13,25.35
YHOO,6/19/13,26.24
YHOO,6/18/13,26.66
YHOO,6/17/13,26.54
YHOO,6/14/13,26.28
YHOO,6/13/13,26.37
YHOO,6/12/13,25.13
YHOO,6/11/13,25.47
YHOO,6/10/13,25.29
YHOO,6/7/13,24.95
YHOO,6/6/13,24.07
YHOO,6/5/13,25.19
YHOO,6/4/13,25.35
YHOO,6/3/13,26.24
YHOO,5/31/13,26.66
YHOO,5/30/13,26.54
YHOO,5/29/13,26.28
YHOO,5/28/13,26.37
YHOO,5/24/13,25.89
YHOO,5/23/13,26.4
YHOO,5/22/13,26.74
YHOO,5/21/13,27.04
YHOO,5/20/13,26.21
YHOO,5/17/13,25.75
YHOO,5/16/13,26.26
YHOO,5/15/13,26.39
YHOO,5/14/13,26.64
YHOO,5/13/13,26.3
YHOO,5/10/13,26.33
YHOO,5/9/13,25.81
YHOO,5/8/13,26.07
YHOO,5/7/13,26.33
YHOO,5/6/13,26.02
YHOO,5/3/13,26.54
YHOO,5/2/13,27
YHOO,5/1/13,26.58
YHOO,4/30/13,26.52
YHOO,4/29/13,26.58
YHOO,4/26/13,27.34
YHOO,4/25/13,26.39
YHOO,4/24/13,26.83
YHOO,4/23/13,26.24
YHOO,4/22/13,26.41
YHOO,4/19/13,26.07
YHOO,4/18/13,25.17
YHOO,4/17/13,25.07
YHOO,4/16/13,24.97
YHOO,4/15/13,24.3
YHOO,4/12/13,24.73
YHOO,4/11/13,24.43
YHOO,4/10/13,24.68
YHOO,4/9/13,25.2
YHOO,4/8/13,24.75
YHOO,4/5/13,24.38
YHOO,4/4/13,23.95
YHOO,4/3/13,23.47
YHOO,4/2/13,23.26
YHOO,4/1/13,23.7
YHOO,3/28/13,23.79
YHOO,3/27/13,23.98
YHOO,3/26/13,24.69
YHOO,3/25/13,24.49
YHOO,3/22/13,24.2
YHOO,3/21/13,23.83
YHOO,3/20/13,23.48
YHOO,3/19/13,23.3
YHOO,3/18/13,23.52
YHOO,3/15/13,23.38
YHOO,3/14/13,23.78
YHOO,3/13/13,23.5
